logY Y P PoverSqrtY A AoverSqrtY
7.47193 1758 8.3009 0.197978 0.081494 0.001944
7.47364 1761 8.4407 0.201139 -0.033369 -0.000795
7.47591 1765 8.7741 0.208847 -0.054027 -0.001286
7.47760 1768 8.5526 0.203403 0.130030 0.003092
7.47930 1771 8.6991 0.206712 -0.034885 -0.000829
7.48156 1775 8.0608 0.191329 -0.058509 -0.001389
7.48324 1778 7.2761 0.172556 0.163791 0.003884
7.48493 1781 7.5216 0.178228 -0.033475 -0.000793
7.48661 1784 7.4031 0.175274 -0.000488 -0.000012
7.48885 1788 6.6295 0.156783 0.012630 0.000299
7.49053 1791 6.1158 0.144513 -0.085079 -0.002010
7.49220 1794 5.8983 0.139256 0.006293 0.000149
7.49443 1798 5.4925 0.129531 0.043276 0.001021
7.49610 1801 4.9659 0.117015 -0.056100 -0.001322
7.49776 1804 4.8922 0.115183 0.045151 0.001063
7.49998 1808 4.7555 0.111841 0.065239 0.001534
7.50163 1811 4.4379 0.104283 0.093810 0.002204
7.50384 1815 4.7536 0.111579 0.032179 0.000755
7.50549 1818 4.6020 0.107932 0.075665 0.001775
7.50714 1821 4.2731 0.100136 -0.103510 -0.002426
7.50934 1825 4.1917 0.098121 -0.017178 -0.000402
7.51098 1828 4.0123 0.093843 0.117515 0.002749
7.51262 1831 4.8321 0.112925 -0.080982 -0.001893
7.51480 1835 4.8637 0.113540 0.062697 0.001464
7.51643 1838 5.1011 0.118985 0.124583 0.002906
7.51861 1842 5.1821 0.120743 -0.115935 -0.002701
7.52023 1845 5.1766 0.120515 0.063033 0.001467
7.52240 1849 4.5882 0.106701 0.048362 0.001125
7.52402 1852 4.5357 0.105396 -0.121303 -0.002819
7.52564 1855 4.9549 0.115044 0.075398 0.001751
7.52779 1859 5.1385 0.119179 0.064660 0.001500
7.52941 1862 5.1431 0.119190 -0.073805 -0.001710
7.53155 1866 5.0749 0.117481 -0.002641 -0.000061
7.53316 1869 5.1183 0.118391 0.071589 0.001656
