logY Y P PoverSqrtY A AoverSqrtY
7.35116 1558 19.5309 0.494811 0.210155 0.005324
7.35308 1561 19.4966 0.493467 0.017474 0.000442
7.35500 1564 19.6211 0.496142 0.089570 0.002265
7.35692 1567 19.6963 0.497565 -0.103986 -0.002627
7.35883 1570 19.7336 0.498032 0.048675 0.001228
7.36074 1573 19.7216 0.497254 0.148579 0.003746
7.36265 1576 19.9680 0.502986 -0.050815 -0.001280
7.36455 1579 19.3571 0.487135 -0.010209 -0.000257
7.36645 1582 19.4565 0.489172 -0.021630 -0.000544
7.36834 1585 19.8178 0.497783 0.032650 0.000820
7.37023 1588 19.7253 0.494993 0.079576 0.001997
7.37149 1590 19.8768 0.498481 0.005466 0.000137
7.37337 1593 19.9119 0.498891 0.132359 0.003316
7.37526 1596 20.3622 0.509692 -0.064122 -0.001605
7.37713 1599 19.6815 0.492192 -0.058450 -0.001462
7.37901 1602 19.3685 0.483911 -0.126593 -0.003163
7.38088 1605 19.4016 0.484283 -0.000396 -0.000010
7.38275 1608 18.9563 0.472727 0.087844 0.002191
7.38461 1611 19.0237 0.473965 -0.063257 -0.001576
7.38647 1614 18.7669 0.467133 0.049212 0.001225
7.38833 1617 18.7474 0.466214 -0.117938 -0.002933
7.39018 1620 18.4672 0.458821 -0.049642 -0.001233
7.39203 1623 18.1892 0.451496 0.085980 0.002134
7.39388 1626 18.4700 0.458042 0.060437 0.001499
7.39572 1629 18.2169 0.451350 0.126732 0.003140
7.39756 1632 18.4188 0.455933 -0.012920 -0.000320
7.39940 1635 18.2683 0.451793 0.078576 0.001943
7.40123 1638 18.7945 0.464381 0.079162 0.001956
7.40306 1641 18.8070 0.464265 -0.055451 -0.001369
7.40550 1645 18.8937 0.465837 -0.084272 -0.002078
7.40732 1648 18.6907 0.460413 0.057081 0.001406
7.40914 1651 18.8213 0.463209 -0.028031 -0.000690
7.41095 1654 18.7778 0.461719 0.036416 0.000895
7.41276 1657 19.2006 0.471687 -0.001893 -0.000046
7.41457 1660 19.3972 0.476086 0.006359 0.000156
7.41638 1663 19.2546 0.472159 0.075133 0.001842
7.41818 1666 19.2806 0.472370 -0.079757 -0.001954
7.41998 1669 18.8091 0.460404 0.065518 0.001604
7.42178 1672 18.8148 0.460131 -0.085258 -0.002085
7.42357 1675 18.8184 0.459807 -0.010073 -0.000246
7.42536 1678 18.5888 0.453790 0.078503 0.001916
7.42774 1682 18.9801 0.462791 -0.008159 -0.000199
7.42952 1685 19.1751 0.467129 0.001865 0.000045
7.43130 1688 19.0442 0.463528 0.034626 0.000843
7.43308 1691 19.0580 0.463454 0.004871 0.000118
7.43485 1694 19.1049 0.464181 0.060197 0.001463
7.43662 1697 19.2143 0.466428 -0.070976 -0.001723
7.43838 1700 19.7052 0.477921 -0.068094 -0.001652
7.44073 1704 19.5598 0.473837 0.001277 0.000031
7.44249 1707 20.1629 0.488019 -0.177452 -0.004295
7.44425 1710 19.9021 0.481284 0.012136 0.000293
7.44600 1713 19.8036 0.478481 0.187589 0.004532
7.44775 1716 20.2107 0.487891 0.013103 0.000316
7.44950 1719 20.7498 0.500467 0.086512 0.002087
7.45182 1723 20.3001 0.489052 0.134839 0.003248
7.45356 1726 20.5981 0.495801 0.028379 0.000683
7.45530 1729 21.6371 0.520358 0.093328 0.002244
7.45703 1732 21.7194 0.521883 -0.104410 -0.002509
7.45876 1735 22.3815 0.537328 -0.012944 -0.000311
7.46107 1739 22.2120 0.532645 -0.032219 -0.000773
7.46279 1742 22.0809 0.529044 -0.061314 -0.001469
7.46451 1745 22.1987 0.531409 0.080742 0.001933
7.46623 1748 22.2414 0.531976 0.081297 0.001944
7.46851 1752 22.2265 0.531011 -0.135796 -0.003244
7.47022 1755 22.6582 0.540863 -0.053381 -0.001274
7.47193 1758 22.5597 0.538051 0.081494 0.001944
7.47364 1761 22.7481 0.542083 -0.033369 -0.000795
7.47591 1765 23.1464 0.550950 -0.054027 -0.001286
7.47760 1768 22.9736 0.546372 0.130030 0.003092
7.47930 1771 23.1688 0.550548 -0.034885 -0.000829
7.48156 1775 22.5954 0.536317 -0.058509 -0.001389
7.48324 1778 21.8593 0.518407 0.163791 0.003884
7.48493 1781 22.1535 0.524940 -0.033475 -0.000793
7.48661 1784 22.0837 0.522848 -0.000488 -0.000012
7.48885 1788 21.3750 0.505502 0.012630 0.000299
7.49053 1791 20.9100 0.494090 -0.085079 -0.002010
7.49220 1794 20.7411 0.489688 0.006293 0.000149
7.49443 1798 20.4002 0.481105 0.043276 0.001021
7.49610 1801 19.9223 0.469443 -0.056100 -0.001322
7.49776 1804 19.8973 0.468463 0.045151 0.001063
7.49998 1808 19.8255 0.466258 0.065239 0.001534
7.50163 1811 19.5565 0.459549 0.093810 0.002204
7.50384 1815 19.9371 0.467976 0.032179 0.000755
7.50549 1818 19.8342 0.465176 0.075665 0.001775
7.50714 1821 19.5540 0.458228 -0.103510 -0.002426
7.50934 1825 19.5375 0.457338 -0.017178 -0.000402
7.51098 1828 19.4067 0.453904 0.117515 0.002749
7.51262 1831 20.2752 0.473829 -0.080982 -0.001893
7.51480 1835 20.3717 0.475563 0.062697 0.001464
7.51643 1838 20.6578 0.481849 0.124583 0.002906
7.51861 1842 20.8037 0.484725 -0.115935 -0.002701
7.52023 1845 20.8468 0.485335 0.063033 0.001467
7.52240 1849 20.3233 0.472634 0.048362 0.001125
7.52402 1852 20.3195 0.472164 -0.121303 -0.002819
7.52564 1855 20.7874 0.482645 0.075398 0.001751
7.52779 1859 21.0359 0.487890 0.064660 0.001500
7.52941 1862 21.0892 0.488732 -0.073805 -0.001710
7.53155 1866 21.0858 0.488128 -0.002641 -0.000061
7.53316 1869 21.1779 0.489866 0.071589 0.001656
7.53530 1873 20.6497 0.477139 0.033809 0.000781
7.53690 1876 20.5517 0.474494 -0.153621 -0.003547
7.53903 1880 20.6003 0.475111 0.078911 0.001820
7.54062 1883 20.7198 0.477485 0.170627 0.003932
7.54274 1887 21.0495 0.484569 -0.076209 -0.001754
7.54433 1890 20.9348 0.481545 0.065381 0.001504
7.54645 1894 21.0878 0.484554 0.032836 0.000754
7.54803 1897 21.2026 0.486807 -0.054701 -0.001256
7.55014 1901 21.4483 0.491928 0.039388 0.000903
7.55171 1904 22.1184 0.506898 0.127791 0.002929
7.55381 1908 22.2046 0.508340 0.062573 0.001433
7.55538 1911 22.1591 0.506900 0.048617 0.001112
7.55747 1915 23.0206 0.526057 0.066086 0.001510
7.55904 1918 23.0194 0.525618 0.066602 0.001521
7.56112 1922 22.5535 0.514443 -0.108470 -0.002474
7.56320 1926 22.4106 0.510653 -0.013313 -0.000303
7.56476 1929 22.6403 0.515485 0.131640 0.002997
7.56683 1933 23.7948 0.541209 0.201195 0.004576
7.56838 1936 24.2024 0.550055 0.003481 0.000079
7.57044 1940 24.2410 0.550363 -0.020149 -0.000457
7.57250 1944 24.1372 0.547442 0.056291 0.001277
7.57405 1947 24.0656 0.545398 -0.068106 -0.001543
7.57610 1951 24.2649 0.549352 -0.054445 -0.001233
7.57763 1954 24.1421 0.546151 0.079114 0.001790
7.57968 1958 24.1639 0.546085 0.087280 0.001972
7.58172 1962 24.2147 0.546675 -0.134403 -0.003034
7.58325 1965 24.1639 0.545113 0.032983 0.000744
7.58528 1969 24.2052 0.545489 0.064544 0.001455
7.58731 1973 23.7620 0.534957 0.116043 0.002612
7.58883 1976 23.9331 0.538400 0.018694 0.000421
7.59085 1980 24.2432 0.544825 0.074957 0.001685
7.59287 1984 24.3494 0.546660 0.014345 0.000322
7.59438 1987 24.3276 0.545758 -0.077292 -0.001734
7.59639 1991 24.3371 0.545423 -0.065689 -0.001472
7.59840 1995 24.1248 0.540123 -0.060942 -0.001364
7.59990 1998 24.1886 0.541143 0.186011 0.004161
7.60190 2002 25.0494 0.559842 -0.062445 -0.001396
7.60390 2006 26.0083 0.580694 -0.046310 -0.001034
7.60589 2010 25.9434 0.578667 0.016829 0.000375
7.60738 2013 25.8176 0.575433 0.040584 0.000905
7.60937 2017 25.3499 0.564447 -0.085957 -0.001914
7.61135 2021 24.9989 0.556081 0.004970 0.000111
7.61332 2025 25.1166 0.558146 -0.028779 -0.000640
7.61481 2028 24.4791 0.543577 0.059658 0.001325
7.61678 2032 24.4738 0.542924 -0.032402 -0.000719
7.61874 2036 24.5818 0.544784 -0.064688 -0.001434
7.62071 2040 24.0571 0.532633 -0.058966 -0.001306
7.62217 2043 23.8545 0.527759 0.092046 0.002036
7.62413 2047 24.3768 0.538788 -0.147113 -0.003252
7.62608 2051 24.2474 0.535404 -0.103495 -0.002285
7.62803 2055 24.3077 0.536214 0.115383 0.002545
7.62998 2059 24.1830 0.532944 0.097005 0.002138
7.63143 2062 24.2745 0.534571 -0.102504 -0.002257
7.63337 2066 24.6284 0.541839 0.105252 0.002316
7.63530 2070 24.8102 0.545312 0.042956 0.000944
7.63723 2074 24.7830 0.544188 -0.023058 -0.000506
7.63916 2078 24.4141 0.535571 0.046321 0.001016
7.64108 2082 24.2465 0.531384 -0.128613 -0.002819
7.64300 2086 24.1050 0.527776 0.060832 0.001332
7.64444 2089 23.5984 0.516314 0.082597 0.001807
7.64635 2093 23.5370 0.514478 0.022191 0.000485
7.64826 2097 23.0731 0.503857 -0.066103 -0.001444
7.65017 2101 22.6740 0.494670 -0.041860 -0.000913
7.65207 2105 22.6449 0.493564 -0.039222 -0.000855
7.65397 2109 22.4202 0.488204 0.073686 0.001605
7.65586 2113 23.1762 0.504187 0.049236 0.001071
7.65776 2117 23.2236 0.504742 -0.079857 -0.001736
