u x resid pred residB
9.994173635 21898.50469 0.3164758913 0.007003973483 0.3530233814
9.996199044 21942.90307 0.3151474622 0.007462369091 0.3517368445
9.998224453 21987.39146 0.3138341299 0.007922555528 0.3504654474
10.00024986 22031.97005 0.3125383694 0.008384791926 0.3492116651
10.00227527 22076.63902 0.3112603216 0.008849256824 0.3479756384
10.00430068 22121.39855 0.3099830343 0.009316046407 0.3467404153
10.00632609 22166.24884 0.3087018872 0.009785173297 0.3455013755
10.0083515 22211.19005 0.307425734 0.01025656592 0.3442673727
10.01037691 22256.22238 0.306145211 0.01073006848 0.3430290433
10.01240232 22301.34602 0.3048582482 0.0112054415 0.3417843172
10.01442772 22346.56114 0.3035757886 0.01168236301 0.3405441375
10.01645313 22391.86793 0.3023010226 0.01216043033 0.3393116947
10.01847854 22437.26658 0.3010432447 0.01263916244 0.3380962832
10.02050395 22482.75727 0.299799894 0.01311800299 0.3368953423
10.02252936 22528.3402 0.2985636506 0.01359632384 0.3357015521
10.02455477 22574.01554 0.2973346534 0.01407342924 0.3345150513
10.02658018 22619.78349 0.2960995211 0.01454856045 0.3333224589
10.02860559 22665.64423 0.2948523939 0.01502090097 0.3321179152
10.030631 22711.59795 0.2936245949 0.01548958223 0.330932743
10.0326564 22757.64484 0.2924305612 0.01595368966 0.3297813796
10.03468181 22803.78508 0.2912647604 0.01641226926 0.3286582928
10.03670722 22850.01888 0.2901313191 0.01686433447 0.3275676089
10.03873263 22896.34641 0.2890288656 0.01730887339 0.3265079566
10.04075804 22942.76787 0.2879431112 0.01774485624 0.325465047
10.04278345 22989.28345 0.2868708429 0.01817124304 0.3244356672
10.04480886 23035.89334 0.2858184967 0.01858699148 0.3234262531
10.04683427 23082.59772 0.2847935292 0.01899106482 0.3224442615
10.04885968 23129.3968 0.2837912241 0.01938243992 0.3214849762
10.05088509 23176.29076 0.2827896719 0.0197601152 0.3205264875
10.05291049 23223.2798 0.2817856004 0.02012311853 0.3195655235
10.0549359 23270.3641 0.2807724649 0.02047051502 0.3185955393
10.05696131 23317.54387 0.2797317925 0.02080141459 0.3175980621
10.05898672 23364.81929 0.2786669335 0.0211149793 0.3165764422
10.06101213 23412.19056 0.2775890568 0.02141043038 0.3155418487
10.06303754 23459.65788 0.2765020242 0.02168705492 0.3144981434
10.06506295 23507.22143 0.2754117024 0.02194421212 0.3134511929
10.06708836 23554.88142 0.2743220475 0.02218133912 0.3124049533
