om p1 p2 p3
5.340 8.35158e-3 1.49048e-3 1.39405e+4
5.360 8.18092e-3 1.44957e-3 1.39570e+4
5.380 7.99179e-3 1.40525e-3 1.39834e+4
5.400 7.78460e-3 1.35781e-3 1.40126e+4
5.420 7.55986e-3 1.30753e-3 1.40380e+4
5.440 7.31823e-3 1.25474e-3 1.40534e+4
5.460 7.06048e-3 1.19976e-3 1.40533e+4
5.480 6.78751e-3 1.14294e-3 1.40327e+4
5.500 6.50036e-3 1.08461e-3 1.39875e+4
5.520 6.20021e-3 1.02513e-3 1.39143e+4
5.540 5.88836e-3 9.64836e-4 1.38108e+4
5.560 5.56623e-3 9.04083e-4 1.36751e+4
5.580 5.23538e-3 8.43213e-4 1.35066e+4
5.600 4.89749e-3 7.82564e-4 1.33054e+4
5.620 4.55436e-3 7.22466e-4 1.30723e+4
5.640 4.20790e-3 6.63237e-4 1.28090e+4
5.660 3.86013e-3 6.05184e-4 1.25178e+4
5.680 3.51318e-3 5.48599e-4 1.22015e+4
5.700 3.16925e-3 4.93759e-4 1.18637e+4
5.720 2.83065e-3 4.40926e-4 1.15083e+4
5.740 2.49976e-3 3.90341e-4 1.11393e+4
5.760 2.17900e-3 3.42230e-4 1.07612e+4
5.780 1.87089e-3 2.96798e-4 1.03785e+4
5.800 1.57795e-3 2.54232e-4 9.99577e+3
5.820 1.30275e-3 2.14700e-4 9.61741e+3
5.840 1.04788e-3 1.78351e-4 9.24769e+3
5.860 8.15922e-4 1.45314e-4 8.89058e+3
5.880 6.09461e-4 1.15702e-4 8.54974e+3
5.900 4.31048e-4 8.96094e-5 8.22838e+3
5.920 2.83199e-4 6.71154e-5 7.92926e+3
5.940 1.68375e-4 4.82831e-5 7.65463e+3
5.960 8.89688e-5 3.31619e-5 7.40620e+3
5.980 4.72883e-5 2.17882e-5 7.18511e+3
6.000 4.55436e-5 1.41866e-5 6.99193e+3
6.020 8.58309e-5 1.03716e-5 6.82669e+3
6.040 1.70118e-4 1.03486e-5 6.68886e+3
6.060 3.00229e-4 1.41150e-5 6.57741e+3
6.080 4.77834e-4 2.16621e-5 6.49083e+3
6.100 7.04431e-4 3.29755e-5 6.42719e+3
6.120 9.81338e-4 4.80364e-5 6.38421e+3
6.140 1.30968e-3 6.68228e-5 6.35927e+3
6.160 1.69036e-3 8.93100e-5 6.34954e+3
6.180 2.12410e-3 1.15471e-4 6.35200e+3
6.200 2.61137e-3 1.45279e-4 6.36353e+3
6.220 3.15241e-3 1.78702e-4 6.38099e+3
6.240 3.74722e-3 2.15713e-4 6.40125e+3
6.260 4.39557e-3 2.56278e-4 6.42132e+3
6.280 5.09697e-3 3.00365e-4 6.43833e+3
6.300 5.85067e-3 3.47940e-4 6.44965e+3
6.320 6.65568e-3 3.98967e-4 6.45292e+3
6.340 7.51073e-3 4.53405e-4 6.44605e+3
6.360 8.41434e-3 5.11211e-4 6.42733e+3
6.380 9.36472e-3 5.72338e-4 6.39538e+3
6.400 1.03599e-2 6.36730e-4 6.34922e+3
6.420 1.13976e-2 7.04328e-4 6.28823e+3
6.440 1.24753e-2 7.75062e-4 6.21222e+3
6.460 1.35904e-2 8.48852e-4 6.12132e+3
6.480 1.47399e-2 9.25610e-4 6.01606e+3
6.500 1.59207e-2 1.00523e-3 5.89728e+3
6.520 1.71295e-2 1.08761e-3 5.76612e+3
6.540 1.83627e-2 1.17260e-3 5.62402e+3
6.560 1.96166e-2 1.26008e-3 5.47261e+3
6.580 2.08876e-2 1.34986e-3 5.31371e+3
6.600 2.21715e-2 1.44179e-3 5.14929e+3
6.620 2.34644e-2 1.53566e-3 4.98139e+3
6.640 2.47620e-2 1.63125e-3 4.81210e+3
6.660 2.60601e-2 1.72834e-3 4.64349e+3
6.680 2.73545e-2 1.82667e-3 4.47761e+3
6.700 2.86407e-2 1.92598e-3 4.31636e+3
6.720 2.99145e-2 2.02598e-3 4.16155e+3
6.740 3.11714e-2 2.12637e-3 4.01480e+3
6.760 3.24072e-2 2.22682e-3 3.87752e+3
6.780 3.36175e-2 2.32700e-3 3.75092e+3
6.800 3.47982e-2 2.42658e-3 3.63595e+3
6.820 3.59450e-2 2.52517e-3 3.53329e+3
6.840 3.70541e-2 2.62243e-3 3.44337e+3
6.860 3.81214e-2 2.71796e-3 3.36635e+3
6.880 3.91432e-2 2.81140e-3 3.30213e+3
6.900 4.01159e-2 2.90234e-3 3.25036e+3
6.920 4.10362e-2 2.99042e-3 3.21043e+3
6.940 4.19007e-2 3.07524e-3 3.18156e+3
6.960 4.27064e-2 3.15643e-3 3.16274e+3
6.980 4.34507e-2 3.23362e-3 3.15280e+3
7.000 4.41308e-2 3.30644e-3 3.15044e+3
7.020 4.47446e-2 3.37455e-3 3.15428e+3
7.040 4.52900e-2 3.43761e-3 3.16283e+3
7.060 4.57651e-2 3.49532e-3 3.17460e+3
7.080 4.61686e-2 3.54738e-3 3.18807e+3
7.100 4.64991e-2 3.59352e-3 3.20178e+3
7.120 4.67557e-2 3.63350e-3 3.21431e+3
7.140 4.69379e-2 3.66711e-3 3.22434e+3
7.160 4.70451e-2 3.69416e-3 3.23066e+3
7.180 4.70774e-2 3.71450e-3 3.23220e+3
7.200 4.70349e-2 3.72801e-3 3.22806e+3
7.220 4.69181e-2 3.73460e-3 3.21748e+3
7.240 4.67279e-2 3.73422e-3 3.19992e+3
7.260 4.64652e-2 3.72685e-3 3.17501e+3
7.280 4.61314e-2 3.71253e-3 3.14256e+3
7.300 4.57280e-2 3.69129e-3 3.10258e+3
7.320 4.52568e-2 3.66323e-3 3.05527e+3
7.340 4.47200e-2 3.62849e-3 3.00098e+3
7.360 4.41197e-2 3.58721e-3 2.94024e+3
7.380 4.34584e-2 3.53959e-3 2.87370e+3
7.400 4.27389e-2 3.48586e-3 2.80216e+3
7.420 4.19639e-2 3.42627e-3 2.72648e+3
7.440 4.11366e-2 3.36111e-3 2.64765e+3
7.460 4.02600e-2 3.29067e-3 2.56666e+3
