om p1 p2
10.460 6.63570e+0 3.59256e-1
10.480 6.39247e+0 3.20290e-1
10.500 6.15545e+0 2.84305e-1
10.520 5.92508e+0 2.51155e-1
10.540 5.70174e+0 2.20695e-1
10.560 5.48578e+0 1.92786e-1
10.580 5.27752e+0 1.67299e-1
10.600 5.07724e+0 1.44118e-1
10.620 4.88517e+0 1.23143e-1
10.640 4.70154e+0 1.04290e-1
10.660 4.52653e+0 8.74909e-2
10.680 4.36027e+0 7.26953e-2
10.700 4.20288e+0 5.98659e-2
10.720 4.05446e+0 4.89783e-2
10.740 3.91504e+0 4.00182e-2
10.760 3.78466e+0 3.29782e-2
10.780 3.66332e+0 2.78550e-2
10.800 3.55099e+0 2.46454e-2
10.820 3.44761e+0 2.33438e-2
10.840 3.35311e+0 2.39387e-2
10.860 3.26737e+0 2.64099e-2
10.880 3.19028e+0 3.07261e-2
10.900 3.12167e+0 3.68429e-2
10.920 3.06138e+0 4.47010e-2
10.940 3.00922e+0 5.42259e-2
10.960 2.96496e+0 6.53267e-2
10.980 2.92837e+0 7.78971e-2
11.000 2.89921e+0 9.18156e-2
11.020 2.87720e+0 1.06947e-1
11.040 2.86206e+0 1.23145e-1
11.060 2.85347e+0 1.40253e-1
11.080 2.85114e+0 1.58108e-1
11.100 2.85471e+0 1.76540e-1
11.120 2.86386e+0 1.95382e-1
11.140 2.87822e+0 2.14465e-1
11.160 2.89742e+0 2.33625e-1
11.180 2.92109e+0 2.52707e-1
11.200 2.94884e+0 2.71564e-1
11.220 2.98029e+0 2.90060e-1
11.240 3.01503e+0 3.08076e-1
11.260 3.05266e+0 3.25506e-1
11.280 3.09277e+0 3.42258e-1
11.300 3.13497e+0 3.58261e-1
11.320 3.17883e+0 3.73458e-1
11.340 3.22396e+0 3.87807e-1
11.360 3.26996e+0 4.01282e-1
11.380 3.31642e+0 4.13872e-1
11.400 3.36295e+0 4.25576e-1
11.420 3.40917e+0 4.36401e-1
11.440 3.45470e+0 4.46366e-1
11.460 3.49917e+0 4.55492e-1
11.480 3.54224e+0 4.63801e-1
11.500 3.58356e+0 4.71319e-1
11.520 3.62281e+0 4.78066e-1
11.540 3.65968e+0 4.84059e-1
11.560 3.69388e+0 4.89310e-1
11.580 3.72514e+0 4.93820e-1
11.600 3.75319e+0 4.97582e-1
11.620 3.77783e+0 5.00582e-1
11.640 3.79882e+0 5.02791e-1
11.660 3.81599e+0 5.04173e-1
11.680 3.82917e+0 5.04682e-1
11.700 3.83822e+0 5.04265e-1
11.720 3.84302e+0 5.02860e-1
11.740 3.84349e+0 5.00404e-1
11.760 3.83954e+0 4.96828e-1
11.780 3.83114e+0 4.92065e-1
11.800 3.81827e+0 4.86053e-1
11.820 3.80092e+0 4.78733e-1
11.840 3.77914e+0 4.70057e-1
11.860 3.75296e+0 4.59987e-1
11.880 3.72246e+0 4.48502e-1
11.900 3.68774e+0 4.35595e-1
11.920 3.64889e+0 4.21280e-1
11.940 3.60607e+0 4.05591e-1
11.960 3.55940e+0 3.88586e-1
11.980 3.50907e+0 3.70343e-1
12.000 3.45526e+0 3.50964e-1
12.020 3.39815e+0 3.30576e-1
12.040 3.33796e+0 3.09326e-1
12.060 3.27490e+0 2.87381e-1
12.080 3.20920e+0 2.64928e-1
12.100 3.14110e+0 2.42169e-1
12.120 3.07084e+0 2.19319e-1
12.140 2.99866e+0 1.96603e-1
12.160 2.92481e+0 1.74253e-1
12.180 2.84955e+0 1.52500e-1
12.200 2.77312e+0 1.31575e-1
12.220 2.69577e+0 1.11702e-1
12.240 2.61775e+0 9.30951e-2
12.260 2.53930e+0 7.59521e-2
12.280 2.46065e+0 6.04539e-2
12.300 2.38204e+0 4.67590e-2
