u H off
8.01210 3017 0.550935
8.01435 3024 -0.034115
8.01659 3030 0.005962
8.01884 3037 0.746673
8.02109 3044 0.164138
8.02334 3051 -0.310705
8.02559 3058 0.380416
8.02784 3065 -0.276588
8.03009 3072 -0.829723
8.03234 3078 0.001401
8.03459 3085 -0.432321
8.03684 3092 -0.973883
8.03909 3099 -0.053831
8.04134 3106 0.618421
8.04358 3113 -0.737100
8.04583 3120 0.240436
8.04808 3127 0.583474
8.05033 3134 0.340448
8.05258 3141 0.066983
8.05483 3148 0.635982
8.05708 3156 1.250021
8.05933 3163 -0.346681
8.06158 3170 0.427664
8.06383 3177 0.758387
8.06608 3184 0.286342
8.06833 3191 -0.195533
8.07057 3198 0.429940
8.07282 3206 0.749472
8.07507 3213 -0.868389
8.07732 3220 -0.125820
8.07957 3227 0.654594
8.08182 3235 -0.074018
8.08407 3242 -0.271456
8.08632 3249 0.134384
8.08857 3257 0.496663
8.09082 3264 0.319650
8.09307 3271 -0.086737
8.09532 3279 0.393561
8.09756 3286 1.045812
8.09981 3293 -0.344774
8.10206 3301 -0.168252
8.10431 3308 0.445967
8.10656 3316 0.720945
8.10881 3323 -0.873261
8.11106 3331 -0.497185
8.11331 3338 -0.010428
8.11556 3346 0.821849
8.11781 3353 -0.915631
8.12006 3361 -0.493165
8.12231 3368 0.350165
8.12455 3376 0.942927
8.12680 3383 -0.698917
8.12905 3391 -0.227793
8.13130 3399 0.290928
8.13355 3406 0.915083
8.13580 3414 0.079786
8.13805 3422 -0.350740
8.14030 3429 0.200893
8.14255 3437 0.461001
8.14480 3445 -0.173058
8.14705 3453 -0.797600
8.14930 3460 -0.108486
8.15154 3468 0.197638
8.15379 3476 0.683836
8.15604 3484 -0.036846
8.15829 3492 -0.873094
8.16054 3500 -0.043154
8.16279 3507 0.404007
8.16504 3515 -0.117054
8.16729 3523 -0.678114
8.16954 3531 -0.221430
8.17179 3539 0.315383
8.17404 3547 0.995128
8.17629 3555 0.194024
8.17853 3563 -0.515149
8.18078 3571 -0.359755
8.18303 3579 0.117573
8.18528 3587 0.222463
8.18753 3595 -0.649830
8.18978 3603 -1.190721
8.19203 3612 -0.794381
8.19428 3620 -0.211183
8.19653 3628 0.229631
8.19878 3636 1.128595
8.20103 3644 0.276825
8.20328 3652 -0.058751
8.20552 3661 0.129770
8.20777 3669 0.678925
8.21002 3677 1.054183
8.21227 3685 0.511589
8.21452 3694 0.437608
8.21677 3702 -0.318052
8.21902 3710 0.126744
8.22127 3719 0.159150
