kind re im order
Fp -0.862365 11.482215 1
Fp -0.862365 -11.482215 1
Fp -0.862365 12.690869 1
Fp -0.862365 -12.690869 1
Fp -0.862365 13.899523 1
Fp -0.862365 -13.899523 1
Fp -0.862365 15.108178 1
Fp -0.862365 -15.108178 1
Fp -0.862365 16.316832 1
Fp -0.862365 -16.316832 1
Fp -0.862365 17.525486 1
Fp -0.862365 -17.525486 1
Fp -0.862365 18.734140 1
Fp -0.862365 -18.734140 1
Fp -0.862365 19.942794 1
Fp -0.862365 -19.942794 1
Fp -0.862365 21.151449 1
Fp -0.862365 -21.151449 1
Fp -0.864311 0.596956 1
Fp -0.864311 -0.596956 1
Fp -0.864311 1.790867 1
Fp -0.864311 -1.790867 1
Fp -0.864311 2.984778 1
Fp -0.864311 -2.984778 1
Fp -0.864311 4.178690 1
Fp -0.864311 -4.178690 1
Fp -0.864311 5.372601 1
Fp -0.864311 -5.372601 1
Fp -0.864311 6.566512 1
Fp -0.864311 -6.566512 1
Fp -0.864311 7.760423 1
Fp -0.864311 -7.760423 1
Fp -0.864311 8.954335 1
Fp -0.864311 -8.954335 1
Fp -0.864311 10.148246 1
Fp -0.864311 -10.148246 1
Fp -0.864311 11.342157 1
Fp -0.864311 -11.342157 1
Fp -0.864311 12.536069 1
Fp -0.864311 -12.536069 1
Fp -0.864311 13.729980 1
Fp -0.864311 -13.729980 1
Fp -0.864311 14.923891 1
Fp -0.864311 -14.923891 1
Fp -0.864311 16.117803 1
Fp -0.864311 -16.117803 1
Fp -0.864311 17.311714 1
Fp -0.864311 -17.311714 1
Fp -0.864311 18.505625 1
Fp -0.864311 -18.505625 1
Fp -0.864311 19.699537 1
Fp -0.864311 -19.699537 1
Fp -0.864311 20.893448 1
Fp -0.864311 -20.893448 1
Fp -0.864919 0.594638 1
Fp -0.864919 -0.594638 1
Fp -0.864919 1.783913 1
Fp -0.864919 -1.783913 1
Fp -0.864919 2.973189 1
Fp -0.864919 -2.973189 1
Fp -0.864919 4.162465 1
Fp -0.864919 -4.162465 1
Fp -0.864919 5.351740 1
Fp -0.864919 -5.351740 1
Fp -0.864919 6.541016 1
Fp -0.864919 -6.541016 1
Fp -0.864919 7.730291 1
Fp -0.864919 -7.730291 1
Fp -0.864919 8.919567 1
Fp -0.864919 -8.919567 1
Fp -0.864919 10.108843 1
Fp -0.864919 -10.108843 1
Fp -0.864919 11.298118 1
Fp -0.864919 -11.298118 1
Fp -0.864919 12.487394 1
Fp -0.864919 -12.487394 1
Fp -0.864919 13.676669 1
Fp -0.864919 -13.676669 1
Fp -0.864919 14.865945 1
Fp -0.864919 -14.865945 1
Fp -0.864919 16.055221 1
Fp -0.864919 -16.055221 1
Fp -0.864919 17.244496 1
Fp -0.864919 -17.244496 1
Fp -0.864919 18.433772 1
Fp -0.864919 -18.433772 1
Fp -0.864919 19.623047 1
Fp -0.864919 -19.623047 1
Fp -0.864919 20.812323 1
Fp -0.864919 -20.812323 1
