u x resid pred residB
9.83011551 18585.10086 0.2043742644 0.3056954309 0.2408017551
9.832140919 18622.78144 0.2077799315 0.303483808 0.2442489762
9.834166328 18660.53841 0.2130954598 0.3010434874 0.2496061009
9.836191737 18698.37194 0.2167503357 0.2983935717 0.2533026153
9.838217146 18736.28216 0.2181490498 0.2955526842 0.2547430102
9.840242555 18774.26925 0.22002316 0.2925388742 0.2566588434
9.842267964 18812.33336 0.2197185146 0.2893695323 0.2563959634
9.844293373 18850.47464 0.2142081375 0.286061315 0.250927394
9.846318781 18888.69325 0.205709778 0.2826300793 0.2424708846
9.84834419 18926.98935 0.2009733162 0.2790908266 0.2377763154
9.850369599 18965.36309 0.1972159851 0.2754576589 0.2340609193
9.852395008 19003.81464 0.1920200445 0.2717437428 0.2289069561
9.854420417 19042.34414 0.1868965918 0.2679612862 0.2238255234
9.856445826 19080.95176 0.1821739877 0.2641215237 0.2191449818
9.858471235 19119.63765 0.1762085543 0.260234713 0.2132216536
9.860496644 19158.40198 0.1700340424 0.2563101399 0.2070892894
9.862522053 19197.2449 0.1625855433 0.2523561342 0.1996829807
9.864547462 19236.16658 0.1527989699 0.2483800928 0.1899386403
9.866572871 19275.16716 0.1437572277 0.2443885126 0.1809391738
9.86859828 19314.24682 0.1378342479 0.2403870303 0.1750585124
9.870623689 19353.40571 0.131985642 0.2363804694 0.1692522678
9.872649098 19392.644 0.1229914691 0.2323728942 0.160300499
9.874674507 19431.96184 0.1156258537 0.2283676685 0.1529773305
9.876699916 19471.35939 0.1101092926 0.22436752 0.1475032591
9.878725325 19510.83682 0.1036425362 0.2203746085 0.1410790355
9.880750734 19550.39429 0.09636505516 0.2163905969 0.13384413
9.882776143 19590.03196 0.0888771207 0.2124167248 0.1263988141
9.884801552 19629.75 0.07978973503 0.2084538839 0.11735409
9.88682696 19669.54856 0.071638768 0.2045026935 0.1092458276
9.888852369 19709.42781 0.06412244579 0.2005635761 0.101772253
9.890877778 19749.38792 0.0569791891 0.1966368312 0.09467178711
9.892903187 19789.42904 0.05308118042 0.1927227085 0.09081661232
9.894928596 19829.55135 0.05343945556 0.1888214772 0.09121776452
9.896954005 19869.755 0.0536916611 0.1849334926 0.09151289031
9.898979414 19910.04016 0.05141427318 0.1810592579 0.08927846586
9.901004823 19950.407 0.05136016253 0.1771994821 0.08926736194
9.903030232 19990.85568 0.05116418109 0.173355132 0.08911443052
9.905055641 20031.38637 0.04799195398 0.1695274783 0.08598529675
9.90708105 20071.99923 0.04498809249 0.1657181359 0.08302457197
9.909106459 20112.69444 0.04314982 0.1619290965 0.08122947956
9.911131868 20153.47215 0.04042106668 0.1581627554 0.07854394974
9.913157277 20194.33254 0.03851455997 0.15442193 0.07668071
9.915182686 20235.27577 0.03632188397 0.1507098714 0.07453134444
9.917208095 20276.30201 0.03240819987 0.1470302683 0.0706610143
9.919233504 20317.41144 0.02779879054 0.1433872437 0.06609500249
9.921258913 20358.6042 0.02366726163 0.1397853432 0.06200691467
9.923284322 20399.88049 0.01823184437 0.1362295173 0.05661498212
9.92530973 20441.24046 0.01205965532 0.1327250956 0.05048632143
9.927335139 20482.68429 0.008561627638 0.1292777545 0.04703186578
9.929360548 20524.21214 0.004692603377 0.1258934785 0.04320645726
9.931385957 20565.82419 -0.0009922305444 0.1225785156 0.03756528283
9.933411366 20607.52061 -0.005862116832 0.1193393266 0.03273909981
9.935436775 20649.30156 -0.008673770414 0.1161825302 0.0299711933
9.937462184 20691.16723 -0.01248143126 0.113114843 0.02620732336
9.939487593 20733.11777 -0.01585814949 0.1101430159 0.02287443992
9.941513002 20775.15337 -0.01870850321 0.1072737676 0.02006796489
9.943538411 20817.27419 -0.0200718249 0.1045137156 0.01874856583
9.94556382 20859.48041 -0.01941135034 0.1018693053 0.01945300699
9.947589229 20901.77221 -0.01948707524 0.09934673801 0.01942129269
9.949614638 20944.14974 -0.02008978609 0.09695189981 0.01886263648
9.951640047 20986.6132 -0.01688525845 0.09469028958 0.02211126282
9.953665456 21029.16275 -0.01282223389 0.09256694932 0.02621843018
9.955690865 21071.79857 -0.01135022852 0.09058639625 0.02773462249
9.957716274 21114.52083 -0.01104958194 0.0887525577 0.02807950017
9.959741683 21157.3297 -0.01017337119 0.08706870966 0.02899998622
9.961767092 21200.22538 -0.01236112277 0.08553741942 0.02685655416
9.9637925 21243.20802 -0.01392874935 0.08416049311 0.02533329136
9.965817909 21286.2778 -0.01395072563 0.08293892873 0.02535572315
9.967843318 21329.43491 -0.01473006667 0.08187287512 0.02462083452
9.969868727 21372.67952 -0.01457354855 0.0809615975 0.0248218494
9.971894136 21416.0118 -0.01350991443 0.08020344991 0.02593002467
9.973919545 21459.43194 -0.01378424456 0.07959585504 0.02570028011
9.975944954 21502.94011 -0.01100608357 0.07913529169 0.02852307113
9.977970363 21546.53649 -0.005236850789 0.07881729011 0.03433697842
9.979995772 21590.22127 -0.001133074099 0.07863643547 0.03848547415
9.982021181 21633.99461 0.003333813134 0.07858637949 0.04299712496
9.98404659 21677.8567 0.008344148861 0.0786598603 0.04805226886
9.986071999 21721.80772 0.009834377632 0.07884873053 0.04958735041
9.988097408 21765.84785 0.009621618036 0.07914399338 0.04941948825
9.990122817 21809.97726 0.01173600389 0.07953584669 0.05157881622
9.992148226 21854.19615 0.01372255308 0.08001373457 0.05361035223
9.994173635 21898.50469 0.01706709586 0.0805664064 0.05699992658
9.996199044 21942.90307 0.01909174492 0.08118198266 0.05906965198
9.998224453 21987.39146 0.02033828044 0.08184802727 0.06036130866
10.00024986 22031.97005 0.02297817027 0.08255162594 0.06304636449
10.00227527 22076.63902 0.02377722854 0.08327946975 0.06389063363
10.00430068 22121.39855 0.02156778657 0.08401794357 0.06172644743
10.00632609 22166.24884 0.02108060808 0.08475321857 0.06128456966
10.0083515 22211.19005 0.02053863396 0.08547134806 0.06078794122
10.01037691 22256.22238 0.01815702344 0.08615836594 0.0584517214
10.01240232 22301.34602 0.01699024828 0.08680038709 0.05733038196
10.01442772 22346.56114 0.01718854172 0.08738370872 0.05757415619
10.01645313 22391.86793 0.01802703708 0.08789491205 0.05845817744
10.01847854 22437.26658 0.02029315344 0.08832096335 0.06076986482
10.02050395 22482.75727 0.02093616998 0.08864931367 0.06145849754
10.02252936 22528.3402 0.02122657297 0.0888679963 0.06179456191
10.02455477 22574.01554 0.02063692669 0.08896572128 0.06125062224
10.02658018 22619.78349 0.0173460161 0.08893196604 0.05800546351
10.02860559 22665.64423 0.0166918656 0.08875706158 0.05739711017
10.030631 22711.59795 0.02094023271 0.08843227328 0.06169131977
10.0326564 22757.64484 0.02524167028 0.08794987581 0.06603864518
10.03468181 22803.78508 0.02890393094 0.08730322137 0.06974683907
10.03670722 22850.01888 0.03406840321 0.08648680069 0.07495728999
10.03873263 22896.34641 0.03688621887 0.08549629634 0.07782112975
10.04075804 22942.76787 0.03836943034 0.08432862772 0.07935041081
10.04278345 22989.28345 0.04017817646 0.08298198735 0.08120527203
