u x R1 R2 R3
8.74273 6265 18295801.252978187 76393452829.700211 358853818522048.94
8.74767 6296 18477364.122809999 77533416296.721313 366011330695130.94
8.75274 6328 18665719.642475933 78721989886.272171 373511493754273.13
8.75763 6359 18849105.984910846 79884944904.279404 380886628105071.00
8.76265 6391 19039346.736581776 81097370282.427811 388613681830891.81
8.76764 6423 19230540.956897248 82322001643.189346 396457713791724.44
8.77261 6455 19422693.074254833 83558900018.092819 404419898689581.50
8.77771 6488 19621849.978792060 84847364317.398834 412755900333344.06
8.78263 6520 19815941.961446870 86109368551.297455 420961724135742.50
8.78768 6553 20017101.427397288 87423853394.166992 429551509090518.13
8.79270 6586 20219277.591954287 88751648308.420181 438272086340141.31
8.79770 6619 20422467.673116732 90092820329.590775 447124776901057.63
8.80267 6652 20626672.700936362 91447436373.116150 456110908417857.56
8.80762 6685 20831891.867694784 92815563373.826599 465231815163925.56
8.81269 6719 21044393.647464741 94239351026.343155 474771492972315.56
8.81774 6753 21257972.057511218 95677625296.175385 484457135315902.81
8.82262 6786 21466298.240067847 97087520623.407379 493998896605903.19
8.82761 6820 21682006.706798851 98554556948.276428 503976517882847.69
8.83273 6855 21905183.607669737 100080101895.57785 514404700776443.69
8.83768 6889 22123078.251814403 101577056705.09035 524689089922617.25
8.84275 6924 22348509.540039308 103133555650.32820 535436258994374.25
8.84765 6958 22568590.457940981 104660730914.02211 546033640402668.50
8.85266 6993 22796269.862554435 106248494411.09270 557106235278975.38
8.85766 7028 23025095.762412678 107852235565.93716 568346383446971.38
8.86263 7063 23255064.227547105 109472034507.47940 579755766769794.88
8.86771 7099 23492794.228880573 111154950146.85730 591669469892051.63
8.87263 7134 23725080.044617090 112807569081.42635 603427359876178.63
8.87766 7170 23965194.063818358 114524411708.95271 615703131244498.25
8.88267 7206 24206516.218482804 116258586005.88414 628165256744024.00
8.88765 7242 24449046.473167248 118010179057.95979 640815612897713.25
8.89275 7279 24699579.014702149 119828670422.12804 654015497554649.50
8.89768 7315 24944561.872155596 121615852194.95868 667053343026912.75
8.90273 7352 25197610.566859275 123471104723.89305 680655495924366.88
8.90775 7389 25451936.257108454 125345130126.25534 694464622872232.63
8.91274 7426 25707537.772235561 127238022790.60109 708482812899549.75
8.91771 7463 25964415.300151594 129149877153.72443 722712165513488.25
8.92266 7500 26222572.694970984 131080787850.64731 737154790712148.88
8.92771 7538 26489036.384858318 133083820452.77924 752211980999233.25
8.93274 7576 26756848.007803801 135107155520.30135 767498673268774.25
8.93774 7614 27026005.933654666 137150895415.74582 783017187839323.25
8.94272 7652 27296508.336823024 139215142431.28836 798769856694099.00
8.94768 7690 27568360.562301245 141299998943.63809 814759023474856.75
8.95273 7729 27848767.498021629 143461257723.45486 831417343739131.50
8.95764 7767 28123347.915599063 145588189486.50534 847892963982664.25
8.96265 7806 28406556.816726398 147792846621.96677 865055539214807.13
8.96763 7845 28691186.875980482 150019649496.95377 882477353776220.88
8.97272 7885 28984586.312762838 152326670473.35361 900617898254781.63
8.97765 7924 29272088.581200995 154598671608.45752 918572812121455.63
8.98269 7964 29568435.522357155 156952282642.17307 937265632300543.50
8.98770 8004 29866273.316784278 159329661075.09064 956242310653382.38
8.99268 8044 30165605.112323668 161730926275.13043 975505706429465.63
8.99764 8084 30466427.693695601 164156197616.68872 995058693204800.88
9.00270 8125 30776322.731393360 166667139527.83420 1015404067971697.1
