logY Y sqrtY_P sqrtY_T sqrtY_L1 sqrtY_L2 sqrtY_R
10.67037 43061 -0.1277059 -0.0083632 -0.0071144 -0.0146642 -0.0975641
10.69344 44066 -0.0735071 -0.0173954 -0.0020422 0.0332773 -0.0873468
10.71653 45095 -0.1503582 -0.0212433 -0.0019176 0.0435205 -0.1707179
10.73961 46148 -0.1571264 -0.0164113 -0.0003021 0.0395177 -0.1799306
10.76270 47226 -0.1380885 0.0017391 -0.0002246 -0.0054707 -0.1341323
10.78579 48329 -0.0596364 0.0152736 0.0054653 -0.0108573 -0.0695180
10.80886 49457 0.0729117 0.0152406 0.0061985 -0.0071088 0.0585814
10.83194 50612 0.0799176 0.0113988 0.0079788 0.0113968 0.0491431
10.85503 51794 0.0444696 0.0110206 0.0126000 0.0354484 -0.0145994
10.87812 53004 0.0195251 0.0091236 0.0193275 0.0738284 -0.0827544
10.90121 54242 0.0014080 0.0078645 0.0245955 0.1033162 -0.1343682
10.92428 55508 -0.0410939 0.0053210 0.0266426 0.1199107 -0.1929682
10.94736 56804 -0.0809863 0.0008382 0.0228294 0.1120513 -0.2167052
10.97045 58131 -0.0317274 -0.0078051 0.0191822 0.1154240 -0.1585285
10.99353 59488 -0.0023407 -0.0152541 0.0080767 0.0785187 -0.0736820
11.01663 60878 0.0218791 -0.0173828 0.0036685 0.0617997 -0.0262063
11.03970 62299 0.0438349 -0.0147175 0.0014265 0.0439262 0.0131997
11.06279 63754 0.0137169 0.0001117 -0.0002371 -0.0014648 0.0153071
11.08587 65243 0.0240754 0.0067827 -0.0034644 -0.0342788 0.0550359
11.10895 66766 0.0641125 0.0035722 -0.0022795 -0.0203282 0.0831480
11.13205 68326 -0.0193585 0.0011369 -0.0038898 -0.0222913 0.0056857
11.15512 69921 -0.1258438 0.0041629 -0.0063874 -0.0423441 -0.0812753
11.17821 71554 -0.1872609 0.0096545 -0.0118059 -0.0831655 -0.1019440
11.20129 73225 -0.2084839 0.0127162 -0.0199340 -0.1314607 -0.0698054
11.22438 74935 -0.1972749 0.0103709 -0.0199699 -0.1257768 -0.0618991
11.24746 76685 -0.1116335 -0.0026579 -0.0204057 -0.0953838 0.0068139
11.27054 78475 -0.0939729 -0.0084098 -0.0240527 -0.0992388 0.0377284
11.29362 80308 -0.0940643 -0.0106543 -0.0195904 -0.0713163 0.0074966
11.31670 82183 -0.0766208 -0.0063237 -0.0166881 -0.0676313 0.0140223
11.33980 84103 0.0422022 -0.0075076 -0.0148901 -0.0556816 0.1202814
11.36288 86067 0.0140000 -0.0052262 -0.0150561 -0.0622153 0.0964976
11.38596 88076 -0.0266742 0.0030872 -0.0124952 -0.0701942 0.0529280
11.40904 90133 0.0098663 0.0145487 -0.0093831 -0.0832871 0.0879878
11.43213 92238 0.0220367 0.0147342 -0.0024820 -0.0492453 0.0590298
11.45521 94392 0.0749709 0.0040649 0.0021485 0.0005802 0.0681773
11.47829 96596 0.1302302 0.0012861 0.0084533 0.0390514 0.0814394
11.50138 98852 0.2022007 0.0009616 0.0105857 0.0505244 0.1401290
11.52446 101160 0.1281243 -0.0023774 0.0121454 0.0666704 0.0516859
11.54755 103523 0.0836749 -0.0052532 0.0142394 0.0843297 -0.0096409
11.57063 105940 0.1690475 -0.0090772 0.0183419 0.1144026 0.0453802
11.59371 108414 0.2447722 -0.0125437 0.0296198 0.1794583 0.0482378
11.61680 110946 0.3308298 -0.0123096 0.0361680 0.2116139 0.0953574
11.63988 113537 0.1786418 -0.0044432 0.0377395 0.1998054 -0.0544599
11.66296 116188 0.1049528 0.0023266 0.0355258 0.1718124 -0.1047120
11.68605 118901 0.1734425 0.0073736 0.0298636 0.1308840 0.0053213
11.70913 121678 0.2111258 0.0059785 0.0302219 0.1361631 0.0387623
11.73221 124519 0.1456206 0.0036378 0.0282248 0.1320295 -0.0182714
11.75530 127427 -0.0222728 0.0024126 0.0257496 0.1227163 -0.1731512
11.77838 130403 -0.2472624 0.0137748 0.0193212 0.0621690 -0.3425275
11.80147 133448 -0.3579679 0.0156288 0.0138015 0.0299354 -0.4173336
11.82455 136564 -0.2863329 0.0085404 0.0157958 0.0576281 -0.3682972
11.84763 139753 -0.1969871 -0.0029532 0.0194068 0.1044171 -0.3178580
11.87072 143017 -0.1263598 -0.0145037 0.0173420 0.1229696 -0.2521677
11.89380 146357 0.0447855 -0.0174850 0.0124372 0.1058983 -0.0560650
11.91688 149774 0.0878524 -0.0146899 0.0070138 0.0717937 0.0237348
11.93997 153272 0.1133298 -0.0077244 0.0006848 0.0227352 0.0976342
11.96305 156851 0.0084765 -0.0049140 -0.0118397 -0.0469135 0.0721436
11.98614 160514 -0.1350471 0.0065112 -0.0225337 -0.1289468 0.0099222
12.00922 164262 -0.1617784 0.0081390 -0.0311531 -0.1761131 0.0373488
