u x r1 r2
11.4383 9.2808e+4 2.67272e+1 -6.32725e+2
11.4464 9.3563e+4 2.47497e+1 -6.20618e+2
11.4545 9.4324e+4 2.37368e+1 -6.08713e+2
11.4626 9.5092e+4 2.39401e+1 -5.96922e+2
11.4707 9.5865e+4 2.21393e+1 -5.85256e+2
11.4788 9.6645e+4 2.51617e+1 -5.73753e+2
11.4869 9.7431e+4 2.62762e+1 -5.62394e+2
11.4950 9.8224e+4 3.19817e+1 -5.51045e+2
11.5031 9.9023e+4 3.18039e+1 -5.39805e+2
11.5112 9.9828e+4 3.43323e+1 -5.28650e+2
11.5193 1.0064e+5 3.71067e+1 -5.17561e+2
11.5274 1.0146e+5 4.41819e+1 -5.06526e+2
11.5355 1.0228e+5 4.15922e+1 -4.95608e+2
11.5436 1.0312e+5 4.00530e+1 -4.84855e+2
11.5517 1.0395e+5 3.85478e+1 -4.74224e+2
11.5598 1.0480e+5 3.91435e+1 -4.63712e+2
11.5679 1.0565e+5 3.86467e+1 -4.53352e+2
11.5760 1.0651e+5 4.07032e+1 -4.43092e+2
11.5841 1.0738e+5 4.36420e+1 -4.32889e+2
11.5922 1.0825e+5 4.46338e+1 -4.22779e+2
11.6003 1.0913e+5 4.74845e+1 -4.12771e+2
11.6084 1.1002e+5 4.29761e+1 -4.02908e+2
11.6165 1.1092e+5 3.76284e+1 -3.93229e+2
11.6246 1.1182e+5 3.24521e+1 -3.83708e+2
11.6327 1.1273e+5 3.22869e+1 -3.74355e+2
11.6408 1.1364e+5 3.27018e+1 -3.65121e+2
11.6489 1.1457e+5 3.51927e+1 -3.55987e+2
11.6570 1.1550e+5 3.50734e+1 -3.46920e+2
11.6651 1.1644e+5 2.89608e+1 -3.38011e+2
11.6732 1.1739e+5 2.79595e+1 -3.29262e+2
11.6813 1.1834e+5 2.80816e+1 -3.20639e+2
11.6894 1.1931e+5 2.16442e+1 -3.12144e+2
11.6975 1.2028e+5 2.56623e+1 -3.03767e+2
11.7056 1.2125e+5 2.83634e+1 -2.95442e+2
11.7137 1.2224e+5 2.75854e+1 -2.87195e+2
11.7218 1.2323e+5 2.46909e+1 -2.79079e+2
11.7299 1.2424e+5 2.15309e+1 -2.71093e+2
11.7381 1.2525e+5 2.60526e+1 -2.63237e+2
11.7462 1.2627e+5 2.24480e+1 -2.55450e+2
11.7543 1.2729e+5 2.18366e+1 -2.47786e+2
11.7624 1.2833e+5 2.77478e+1 -2.40185e+2
11.7705 1.2937e+5 3.26286e+1 -2.32575e+2
11.7786 1.3043e+5 3.05820e+1 -2.25057e+2
11.7867 1.3149e+5 2.75606e+1 -2.17660e+2
11.7948 1.3256e+5 2.80853e+1 -2.10394e+2
11.8029 1.3363e+5 2.55173e+1 -2.03223e+2
11.8110 1.3472e+5 2.10402e+1 -1.96154e+2
11.8191 1.3582e+5 2.39232e+1 -1.89225e+2
11.8272 1.3692e+5 2.44577e+1 -1.82340e+2
11.8353 1.3804e+5 2.22082e+1 -1.75548e+2
11.8434 1.3916e+5 2.49520e+1 -1.68882e+2
11.8515 1.4029e+5 2.09136e+1 -1.62283e+2
11.8596 1.4143e+5 1.80614e+1 -1.55802e+2
11.8677 1.4258e+5 2.20283e+1 -1.49373e+2
11.8758 1.4374e+5 1.93963e+1 -1.43024e+2
11.8839 1.4491e+5 2.09195e+1 -1.36804e+2
11.8920 1.4609e+5 2.13929e+1 -1.30639e+2
11.9001 1.4728e+5 1.77847e+1 -1.24561e+2
11.9082 1.4848e+5 2.02921e+1 -1.18558e+2
11.9163 1.4968e+5 2.54260e+1 -1.12593e+2
11.9244 1.5090e+5 1.96758e+1 -1.06715e+2
11.9325 1.5213e+5 1.00703e+1 -1.00999e+2
11.9406 1.5337e+5 8.51168e+0 -9.54326e+1
11.9487 1.5461e+5 5.43390e+0 -9.00019e+1
11.9568 1.5587e+5 8.76985e+0 -8.46324e+1
11.9649 1.5714e+5 1.66783e+1 -7.92024e+1
11.9730 1.5842e+5 1.18285e+1 -7.38514e+1
11.9811 1.5971e+5 1.17821e+1 -6.86443e+1
11.9892 1.6101e+5 4.61144e+0 -6.35731e+1
11.9973 1.6232e+5 5.22630e+0 -5.86389e+1
12.0054 1.6364e+5 3.54172e+0 -5.37374e+1
12.0135 1.6497e+5 3.41088e+0 -4.88900e+1
12.0216 1.6631e+5 -3.12833e+0 -4.41727e+1
12.0297 1.6766e+5 3.49254e+0 -3.95205e+1
12.0378 1.6903e+5 7.96323e+0 -3.48400e+1
12.0459 1.7040e+5 1.26823e+1 -3.01653e+1
12.0540 1.7179e+5 6.83021e+0 -2.55561e+1
12.0621 1.7319e+5 3.43468e+0 -2.10830e+1
12.0702 1.7459e+5 2.43502e+0 -1.66712e+1
12.0783 1.7601e+5 1.73986e+0 -1.23403e+1
12.0864 1.7745e+5 2.56671e+0 -8.05477e+0
12.0945 1.7889e+5 1.57075e+0 -3.84823e+0
12.1026 1.8034e+5 -1.39625e+0 2.81381e-1
12.1107 1.8181e+5 -8.86289e+0 4.27717e+0
12.1188 1.8329e+5 -9.65605e+0 8.13031e+0
12.1269 1.8478e+5 -8.81812e+0 1.19384e+1
12.1350 1.8628e+5 -1.03135e+1 1.56801e+1
12.1431 1.8780e+5 -1.19680e+1 1.93432e+1
12.1512 1.8933e+5 -9.00060e+0 2.29519e+1
12.1593 1.9087e+5 -7.14615e+0 2.65414e+1
12.1674 1.9242e+5 1.34962e+0 3.02106e+1
12.1755 1.9399e+5 5.16820e-1 3.38766e+1
12.1836 1.9556e+5 5.18878e+0 3.75087e+1
12.1917 1.9715e+5 8.39749e+0 4.11402e+1
12.1998 1.9876e+5 1.73049e+1 4.48748e+1
12.2079 2.0037e+5 2.21571e+1 4.86211e+1
12.2160 2.0200e+5 1.88966e+1 5.23720e+1
12.2241 2.0365e+5 2.33357e+1 5.60364e+1
12.2323 2.0530e+5 2.41019e+1 5.96839e+1
12.2404 2.0697e+5 2.10104e+1 6.32575e+1
12.2485 2.0866e+5 2.21560e+1 6.67860e+1
12.2566 2.1036e+5 2.55714e+1 7.03180e+1
12.2647 2.1207e+5 3.02005e+1 7.38700e+1
12.2728 2.1379e+5 2.41867e+1 7.73146e+1
12.2809 2.1553e+5 2.42742e+1 8.06562e+1
12.2890 2.1728e+5 3.15702e+1 8.39906e+1
12.2971 2.1905e+5 3.04623e+1 8.73740e+1
12.3052 2.2083e+5 3.19873e+1 9.07221e+1
12.3133 2.2263e+5 2.95656e+1 9.39746e+1
12.3214 2.2444e+5 2.94471e+1 9.71545e+1
12.3295 2.2627e+5 2.85842e+1 1.00311e+2
12.3376 2.2811e+5 2.64015e+1 1.03415e+2
12.3457 2.2996e+5 1.99624e+1 1.06383e+2
12.3538 2.3183e+5 2.46952e+1 1.09287e+2
12.3619 2.3372e+5 2.30487e+1 1.12181e+2
12.3700 2.3562e+5 2.71178e+1 1.15069e+2
12.3781 2.3754e+5 2.06677e+1 1.17896e+2
12.3862 2.3947e+5 2.51793e+1 1.20639e+2
12.3943 2.4142e+5 2.76539e+1 1.23389e+2
12.4024 2.4338e+5 2.85037e+1 1.26160e+2
12.4105 2.4536e+5 2.93015e+1 1.28884e+2
12.4186 2.4736e+5 2.96608e+1 1.31604e+2
12.4267 2.4937e+5 2.39479e+1 1.34219e+2
12.4348 2.5140e+5 2.11630e+1 1.36692e+2
12.4429 2.5344e+5 2.25211e+1 1.39122e+2
12.4510 2.5550e+5 1.13376e+1 1.41420e+2
12.4591 2.5758e+5 1.14698e+0 1.43541e+2
12.4672 2.5968e+5 1.29616e+1 1.45657e+2
12.4753 2.6179e+5 1.21791e+1 1.47795e+2
