u x n2
11.3412 8.4220e+4 -2.57506e+0
11.3486 8.4848e+4 -2.56065e+0
11.3560 8.5480e+4 -2.55073e+0
11.3635 8.6117e+4 -2.53641e+0
11.3709 8.6759e+4 -2.53469e+0
11.3783 8.7406e+4 -2.51376e+0
11.3857 8.8057e+4 -2.48702e+0
11.3932 8.8713e+4 -2.47190e+0
11.4006 8.9374e+4 -2.45283e+0
11.4080 9.0040e+4 -2.43147e+0
11.4154 9.0711e+4 -2.43930e+0
11.4229 9.1387e+4 -2.44534e+0
11.4303 9.2068e+4 -2.42520e+0
11.4377 9.2754e+4 -2.39559e+0
11.4451 9.3446e+4 -2.34920e+0
11.4526 9.4142e+4 -2.31344e+0
11.4600 9.4844e+4 -2.28071e+0
11.4674 9.5550e+4 -2.24845e+0
11.4748 9.6262e+4 -2.20989e+0
11.4823 9.6980e+4 -2.17446e+0
11.4897 9.7703e+4 -2.13250e+0
11.4971 9.8431e+4 -2.08014e+0
11.5045 9.9164e+4 -2.02695e+0
11.5120 9.9903e+4 -1.96931e+0
11.5194 1.0065e+5 -1.91677e+0
11.5268 1.0140e+5 -1.87166e+0
11.5342 1.0215e+5 -1.83337e+0
11.5417 1.0291e+5 -1.79312e+0
11.5491 1.0368e+5 -1.75824e+0
11.5565 1.0445e+5 -1.73398e+0
11.5639 1.0523e+5 -1.70417e+0
11.5714 1.0602e+5 -1.67549e+0
11.5788 1.0681e+5 -1.63139e+0
11.5862 1.0760e+5 -1.56618e+0
11.5936 1.0840e+5 -1.50776e+0
11.6011 1.0921e+5 -1.42221e+0
11.6085 1.1003e+5 -1.32736e+0
11.6159 1.1085e+5 -1.25479e+0
11.6233 1.1167e+5 -1.19378e+0
11.6307 1.1250e+5 -1.16071e+0
11.6382 1.1334e+5 -1.14368e+0
11.6456 1.1419e+5 -1.12263e+0
11.6530 1.1504e+5 -1.09718e+0
11.6604 1.1590e+5 -1.07784e+0
11.6679 1.1676e+5 -1.07007e+0
11.6753 1.1763e+5 -1.07603e+0
11.6827 1.1851e+5 -1.08057e+0
11.6901 1.1939e+5 -1.08756e+0
11.6976 1.2028e+5 -1.07874e+0
11.7050 1.2118e+5 -1.06511e+0
11.7124 1.2208e+5 -1.04692e+0
11.7198 1.2299e+5 -1.02260e+0
11.7273 1.2390e+5 -1.02787e+0
11.7347 1.2483e+5 -1.02451e+0
11.7421 1.2576e+5 -1.00153e+0
11.7495 1.2670e+5 -9.78984e-1
11.7570 1.2764e+5 -9.49049e-1
11.7644 1.2859e+5 -9.50584e-1
11.7718 1.2955e+5 -9.31331e-1
11.7792 1.3051e+5 -9.29670e-1
11.7867 1.3149e+5 -9.41152e-1
11.7941 1.3247e+5 -9.65255e-1
11.8015 1.3345e+5 -9.81358e-1
11.8089 1.3445e+5 -9.79302e-1
11.8164 1.3545e+5 -1.00025e+0
11.8238 1.3646e+5 -9.82995e-1
11.8312 1.3748e+5 -9.67658e-1
11.8386 1.3850e+5 -9.62475e-1
11.8461 1.3953e+5 -9.72505e-1
11.8535 1.4057e+5 -9.47173e-1
11.8609 1.4162e+5 -9.07337e-1
11.8683 1.4268e+5 -8.71549e-1
11.8758 1.4374e+5 -8.58542e-1
11.8832 1.4481e+5 -8.39146e-1
11.8906 1.4589e+5 -7.83311e-1
11.8980 1.4698e+5 -7.35013e-1
11.9055 1.4807e+5 -6.93742e-1
11.9129 1.4918e+5 -6.67609e-1
11.9203 1.5029e+5 -6.47947e-1
11.9277 1.5141e+5 -6.56626e-1
11.9352 1.5254e+5 -6.81488e-1
11.9426 1.5367e+5 -6.92574e-1
11.9500 1.5482e+5 -7.23784e-1
11.9574 1.5597e+5 -7.49087e-1
11.9649 1.5713e+5 -7.59947e-1
11.9723 1.5831e+5 -7.79713e-1
11.9797 1.5948e+5 -8.22813e-1
11.9871 1.6067e+5 -8.64561e-1
11.9946 1.6187e+5 -9.16859e-1
12.0020 1.6308e+5 -9.47849e-1
12.0094 1.6429e+5 -9.63739e-1
12.0168 1.6552e+5 -9.56591e-1
12.0243 1.6675e+5 -9.64026e-1
12.0317 1.6799e+5 -9.63584e-1
12.0391 1.6924e+5 -9.40680e-1
12.0465 1.7051e+5 -9.18195e-1
12.0540 1.7178e+5 -8.93981e-1
12.0614 1.7306e+5 -8.76661e-1
12.0688 1.7435e+5 -8.47251e-1
12.0762 1.7565e+5 -8.24856e-1
12.0836 1.7695e+5 -8.12284e-1
12.0911 1.7827e+5 -8.13502e-1
12.0985 1.7960e+5 -8.11240e-1
12.1059 1.8094e+5 -8.01076e-1
12.1133 1.8229e+5 -8.13414e-1
12.1208 1.8365e+5 -8.17919e-1
12.1282 1.8502e+5 -7.83253e-1
12.1356 1.8639e+5 -7.38695e-1
12.1430 1.8778e+5 -6.96809e-1
12.1505 1.8918e+5 -6.77518e-1
12.1579 1.9059e+5 -6.50262e-1
12.1653 1.9201e+5 -6.25915e-1
12.1727 1.9344e+5 -6.09426e-1
12.1802 1.9489e+5 -5.74436e-1
12.1876 1.9634e+5 -5.54893e-1
12.1950 1.9780e+5 -5.75194e-1
12.2024 1.9928e+5 -5.75526e-1
12.2099 2.0076e+5 -5.52067e-1
12.2173 2.0226e+5 -5.37907e-1
12.2247 2.0376e+5 -5.29235e-1
12.2321 2.0528e+5 -4.99214e-1
12.2396 2.0681e+5 -5.04285e-1
12.2470 2.0835e+5 -5.37984e-1
12.2544 2.0991e+5 -5.38481e-1
12.2618 2.1147e+5 -5.33737e-1
12.2693 2.1305e+5 -5.51965e-1
12.2767 2.1463e+5 -5.61392e-1
12.2841 2.1623e+5 -5.53337e-1
12.2915 2.1784e+5 -5.13866e-1
12.2990 2.1947e+5 -4.66899e-1
12.3064 2.2110e+5 -4.17401e-1
12.3138 2.2275e+5 -3.94396e-1
12.3212 2.2441e+5 -3.86254e-1
12.3287 2.2608e+5 -3.95169e-1
12.3361 2.2777e+5 -4.12670e-1
12.3435 2.2947e+5 -4.32051e-1
12.3509 2.3118e+5 -4.55277e-1
12.3584 2.3290e+5 -4.58763e-1
12.3658 2.3463e+5 -4.73085e-1
12.3732 2.3638e+5 -4.61167e-1
12.3806 2.3814e+5 -4.51178e-1
12.3881 2.3992e+5 -4.29703e-1
12.3955 2.4171e+5 -4.05841e-1
12.4029 2.4351e+5 -3.62175e-1
12.4103 2.4532e+5 -3.40402e-1
12.4178 2.4715e+5 -3.22296e-1
12.4252 2.4899e+5 -3.06058e-1
12.4326 2.5085e+5 -3.05846e-1
12.4400 2.5272e+5 -2.90626e-1
12.4475 2.5460e+5 -2.72801e-1
12.4549 2.5650e+5 -2.89356e-1
12.4623 2.5841e+5 -2.94069e-1
12.4697 2.6034e+5 -2.78946e-1
12.4772 2.6228e+5 -2.90262e-1
12.4846 2.6423e+5 -2.97825e-1
12.4920 2.6620e+5 -3.11536e-1
12.4994 2.6818e+5 -2.97944e-1
12.5068 2.7018e+5 -3.09713e-1
12.5143 2.7219e+5 -3.32799e-1
12.5217 2.7422e+5 -3.43252e-1
12.5291 2.7627e+5 -3.53437e-1
12.5365 2.7833e+5 -3.57704e-1
12.5440 2.8040e+5 -3.47581e-1
12.5514 2.8249e+5 -3.22204e-1
12.5588 2.8459e+5 -2.97964e-1
12.5662 2.8672e+5 -2.67582e-1
12.5737 2.8885e+5 -2.47389e-1
12.5811 2.9100e+5 -2.41924e-1
12.5885 2.9317e+5 -2.02020e-1
12.5959 2.9536e+5 -1.78470e-1
12.6034 2.9756e+5 -1.56321e-1
12.6108 2.9978e+5 -1.30879e-1
12.6182 3.0201e+5 -1.16082e-1
12.6256 3.0426e+5 -8.04828e-2
12.6331 3.0653e+5 -1.27754e-2
12.6405 3.0881e+5 3.05934e-2
12.6479 3.1111e+5 5.93258e-2
12.6553 3.1343e+5 9.98881e-2
12.6628 3.1577e+5 1.34057e-1
12.6702 3.1812e+5 1.67410e-1
12.6776 3.2049e+5 1.83667e-1
12.6850 3.2288e+5 1.69836e-1
12.6925 3.2529e+5 1.21546e-1
12.6999 3.2771e+5 1.02047e-1
12.7073 3.3015e+5 1.08692e-1
12.7147 3.3261e+5 1.11974e-1
12.7222 3.3509e+5 1.21677e-1
12.7296 3.3759e+5 1.69750e-1
12.7370 3.4011e+5 2.27899e-1
12.7444 3.4264e+5 2.62996e-1
